Business_name,latitude,longitude,zipcode,category,lifeline_num,lifeline_name,Source
Charles Johnson Law Firm,29.7583908,-95.365266,77002,employmentlawyers,1,Safety & Security,Yelp
"Kennard Law, PC",29.763218592464572,-95.46615335515953,77056,employmentlawyers,1,Safety & Security,Yelp
"Coane and Associates, PLLC",29.7506865142804,-95.4672373544922,77056,employmentlawyers,1,Safety & Security,Yelp
Leeds Law Firm,29.759917,-95.3654197,77002,employmentlawyers,1,Safety & Security,Yelp
Broemer & Associates,29.78137,-95.39202,77007,employmentlawyers,1,Safety & Security,Yelp
Pennell Law Firm,29.751474,-95.451648,77027,employmentlawyers,1,Safety & Security,Yelp
Adame Garza,29.79521,-95.39873,77008,employmentlawyers,1,Safety & Security,Yelp
Spielberger Law Group,29.769413,-95.372062,77002,employmentlawyers,1,Safety & Security,Yelp
Peckham Martin,29.757802,-95.480612,77057,employmentlawyers,1,Safety & Security,Yelp
Law Offices of James R. Davis,29.797874,-95.399429,77008,employmentlawyers,1,Safety & Security,Yelp
Pines Federal,29.6703736,-95.5079118,77096,employmentlawyers,1,Safety & Security,Yelp
Potts Law Firm,29.7324077,-95.4281569,77098,employmentlawyers,1,Safety & Security,Yelp
The Law Office of Brian S. Laviage,29.7856286,-95.4454596,77024,employmentlawyers,1,Safety & Security,Yelp
Cochell Law Firm,29.750672,-95.4831881,77057,employmentlawyers,1,Safety & Security,Yelp
Rucker Law Firm,29.761197,-95.361248,77002,employmentlawyers,1,Safety & Security,Yelp
Kennedy Hodges,29.7329894,-95.3907354,77006,employmentlawyers,1,Safety & Security,Yelp
Shellist Lazarz Slobin LLP,29.732195,-95.435475,77046,employmentlawyers,1,Safety & Security,Yelp
Law Office of Chukwudi Egbuonu,29.7283576,-95.4435547,77027,employmentlawyers,1,Safety & Security,Yelp
The Clifford Law Firm,29.758883,-95.363858,77002,employmentlawyers,1,Safety & Security,Yelp
Charles Johnson Law Firm,29.7583908,-95.365266,77002,employmentlawyers,1,Safety & Security,Yelp
"Kennard Law, PC",29.763218592464572,-95.46615335515953,77056,employmentlawyers,1,Safety & Security,Yelp
"Coane and Associates, PLLC",29.7506865142804,-95.4672373544922,77056,employmentlawyers,1,Safety & Security,Yelp
Leeds Law Firm,29.759917,-95.3654197,77002,employmentlawyers,1,Safety & Security,Yelp
Broemer & Associates,29.78137,-95.39202,77007,employmentlawyers,1,Safety & Security,Yelp
Pennell Law Firm,29.751474,-95.451648,77027,employmentlawyers,1,Safety & Security,Yelp
Adame Garza,29.79521,-95.39873,77008,employmentlawyers,1,Safety & Security,Yelp
Spielberger Law Group,29.769413,-95.372062,77002,employmentlawyers,1,Safety & Security,Yelp
Peckham Martin,29.757802,-95.480612,77057,employmentlawyers,1,Safety & Security,Yelp
Garza & Associates,29.714239646763964,-95.45378407288452,77401,employmentlawyers,1,Safety & Security,Yelp
Pines Federal,29.6703736,-95.5079118,77096,employmentlawyers,1,Safety & Security,Yelp
Potts Law Firm,29.7324077,-95.4281569,77098,employmentlawyers,1,Safety & Security,Yelp
