Business_name,latitude,longitude,category,lifeline_num,lifeline_name,Source
Commercial & Industrial Water Treatment Services,29.9464973,-95.5592357,waterpurification,2,"Food, water, sheltering",Google
Hydrosolaeris,29.9931063,-95.4900634,waterpurification,2,"Food, water, sheltering",Google
Kinetico,29.4453773,-95.2377853,waterpurification,2,"Food, water, sheltering",Google
Eco Residential,29.5821811,-95.7607832,waterpurification,2,"Food, water, sheltering",Google
Ultra Pure Solutions,29.7477174,-95.3572785,waterpurification,2,"Food, water, sheltering",Google
Culligan of Houston,29.843972,-95.5134274,waterpurification,2,"Food, water, sheltering",Google
Sugar Land Water Tower,29.5711246,-95.661133,waterpurification,2,"Food, water, sheltering",Google
Houston Food Bank,29.7804875,-95.2741315,foodbanks,2,"Food, water, sheltering",Google
Heights Interfaith Ministries Food Pantry,29.7897141,-95.3745733,foodbanks,2,"Food, water, sheltering",Google
CAM Food Pantry,29.9381844,-95.6292256,foodbanks,2,"Food, water, sheltering",Google
Anderson Food Pantry,29.774615,-95.335553,foodbanks,2,"Food, water, sheltering",Google
Mission Bells Food Pantry,29.6992035,-95.6566817,foodbanks,2,"Food, water, sheltering",Google
Alvin Community Food Pantry,29.4132837,-95.2542381,foodbanks,2,"Food, water, sheltering",Google
Food Distribution Center - Sugar Grove Food Pantry,29.648498,-95.5802457,foodbanks,2,"Food, water, sheltering",Google
East Spring Branch Food Pantry,29.794392,-95.485748,foodbanks,2,"Food, water, sheltering",Google
Food Distribution Center - Heart of Faith Food Pantry,29.9011025,-95.30161,foodbanks,2,"Food, water, sheltering",Google
"Food Distribution Center - M.I. Lewis Social Service Center, c/o Betty Lessert",29.4507199,-95.075678,foodbanks,2,"Food, water, sheltering",Google
Food Distribution Center - Bay Area Basic Needs Center,29.559853,-95.1152229,foodbanks,2,"Food, water, sheltering",Google
Youth Society,29.7055095,-95.5333291,foodbanks,2,"Food, water, sheltering",Google
Hearts and Hands of Baytown Food Pantry,29.7478839,-94.9608629,foodbanks,2,"Food, water, sheltering",Google
Love In Action Church,29.6880741,-95.3901618,foodbanks,2,"Food, water, sheltering",Google
Food Distribution Center - Brentwood Baptist Church Food Pantry,29.5965407,-95.5645913,foodbanks,2,"Food, water, sheltering",Google
Food Distribution Center - Clear Lake Food Pantry,29.5764414,-95.1209192,foodbanks,2,"Food, water, sheltering",Google
Food Distribution Center - Rise In Faith,29.8079761,-95.4578637,foodbanks,2,"Food, water, sheltering",Google
Food Distribution Center - Broadway Church,29.7165711,-95.2882401,foodbanks,2,"Food, water, sheltering",Google
Pasadena Community Ministries,29.6772999,-95.2205153,foodbanks,2,"Food, water, sheltering",Google
Food Distribution Center - Southeast Area Ministries,29.6572977,-95.2305714,foodbanks,2,"Food, water, sheltering",Google
Gladden Bottled Water Delivery Houston,29.7458251,-95.4578779,waterdelivery,2,"Food, water, sheltering",Google
Ozarka Bottled Water Delivery Houston,29.6690856,-95.4048573,waterdelivery,2,"Food, water, sheltering",Google
